"Step","workerpool1-5-DR6-LR0-R6 - Training/epoch_p_nohist"
"883","{""values"":[43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017924031242728233,0.01804260426433757,0.018161177285946906,0.018279750307556242,0.018398323329165578,0.018516896350774914,0.01863546937238425,0.018754042393993586,0.018872615415602922,0.01899118843721226,0.019109761458821595,0.01922833448043093,0.019346907502040267,0.019465480523649603,0.01958405354525894,0.019702626566868275,0.01982119958847761,0.019939772610086948,0.020058345631696284,0.02017691865330562,0.020295491674914956,0.020414064696524292,0.02053263771813363,0.020651210739742965,0.0207697837613523,0.020888356782961637,0.021006929804570973,0.02112550282618031,0.021244075847789645,0.02136264886939898,0.021481221891008317,0.021599794912617654,0.02171836793422699]}"
"917","{""bins"":[0.017718780785799026,0.0178031288087368,0.017887476831674576,0.0179718229919672,0.018056171014904976,0.01814051903784275,0.018224867060780525,0.01830921322107315,0.018393561244010925,0.0184779092669487,0.018562257289886475,0.01864660531282425,0.018730951473116875,0.01881529949605465,0.018899647518992424,0.0189839955419302,0.019068341702222824,0.0191526897251606,0.019237037748098373,0.019321385771036148,0.019405733793973923,0.019490079954266548,0.019574427977204323,0.019658776000142097,0.019743124023079872,0.019827472046017647,0.019911818206310272,0.019996166229248047,0.02008051425218582,0.020164862275123596,0.02024920843541622,0.020333556458353996,0.02041790448129177],""values"":[38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16],""_type"":""histogram""}"
"951","{""_type"":""histogram"",""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5],""bins"":[0.01768132671713829,0.017800441943109035,0.01791955716907978,0.018038672395050526,0.01815778762102127,0.018276902846992016,0.01839601807296276,0.018515133298933506,0.01863424852490425,0.018753363750874996,0.01887247897684574,0.018991594202816486,0.01911070942878723,0.019229824654757977,0.01934893988072872,0.019468055106699467,0.019587170332670212,0.019706285558640957,0.019825400784611702,0.019944516010582447,0.020063631236553192,0.020182746462523937,0.020301861688494682,0.020420976914465427,0.020540092140436172,0.020659207366406918,0.020778322592377663,0.020897437818348408,0.021016553044319153,0.021135668270289898,0.021254783496260643,0.021373898722231388,0.021493013948202133]}"
"985","{""_type"":""histogram"",""values"":[44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.018000403419137,0.01813513587694615,0.0182698683347553,0.01840460079256445,0.018539333250373602,0.018674065708182752,0.018808798165991902,0.018943530623801053,0.019078263081610203,0.019212995539419353,0.019347727997228503,0.019482460455037653,0.019617192912846804,0.019751925370655954,0.019886657828465104,0.020021390286274254,0.020156122744083405,0.020290855201892555,0.020425587659701705,0.020560320117510855,0.020695052575320005,0.020829785033129156,0.020964517490938306,0.021099249948747456,0.021233982406556606,0.021368714864365757,0.021503447322174907,0.021638179779984057,0.021772912237793207,0.021907644695602357,0.022042377153411508,0.022177109611220658,0.022311842069029808]}"
"1019","{""values"":[37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,0,1],""_type"":""histogram"",""bins"":[0.01758301816880703,0.01772600127151236,0.01786898437421769,0.01801196747692302,0.01815495057962835,0.018297933682333678,0.018440916785039008,0.018583899887744337,0.018726882990449667,0.018869866093154997,0.019012849195860326,0.019155832298565656,0.019298815401270986,0.019441798503976315,0.019584781606681645,0.019727764709386975,0.019870747812092304,0.020013730914797634,0.020156714017502964,0.020299697120208293,0.020442680222913623,0.020585663325618953,0.020728646428324282,0.020871629531029612,0.02101461263373494,0.02115759573644027,0.0213005788391456,0.02144356194185093,0.02158654504455626,0.02172952814726159,0.02187251124996692,0.02201549435267225,0.02215847745537758]}"
"1053","{""_type"":""histogram"",""values"":[40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5],""bins"":[0.01774216629564762,0.017860180523712188,0.017978194751776755,0.01809620897984132,0.01821422320790589,0.018332237435970455,0.018450251664035022,0.01856826589209959,0.018686280120164156,0.018804294348228723,0.01892230857629329,0.019040322804357857,0.019158337032422423,0.01927635126048699,0.019394365488551557,0.019512379716616124,0.01963039394468069,0.019748408172745258,0.019866422400809824,0.01998443662887439,0.020102450856938958,0.020220465085003525,0.020338479313068092,0.02045649354113266,0.020574507769197226,0.020692521997261792,0.02081053622532636,0.020928550453390926,0.021046564681455493,0.02116457890952006,0.021282593137584627,0.021400607365649194,0.02151862159371376]}"
"1087","{""values"":[35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,1],""_type"":""histogram"",""bins"":[0.017554469406604767,0.01768651243764907,0.017818555468693376,0.01795059849973768,0.018082641530781984,0.01821468456182629,0.018346727592870593,0.018478770623914897,0.018610813654959202,0.018742856686003506,0.01887489971704781,0.019006942748092115,0.01913898577913642,0.019271028810180724,0.019403071841225028,0.019535114872269332,0.019667157903313637,0.01979920093435794,0.019931243965402246,0.02006328699644655,0.020195330027490854,0.02032737305853516,0.020459416089579463,0.020591459120623767,0.020723502151668072,0.020855545182712376,0.02098758821375668,0.021119631244800985,0.02125167427584529,0.021383717306889594,0.021515760337933898,0.021647803368978202,0.021779846400022507]}"
"1121","{""values"":[39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3],""_type"":""histogram"",""bins"":[0.017748942598700523,0.017864420951809734,0.017979899304918945,0.018095377658028156,0.018210856011137366,0.018326334364246577,0.018441812717355788,0.018557291070465,0.01867276942357421,0.01878824777668342,0.01890372612979263,0.01901920448290184,0.019134682836011052,0.019250161189120263,0.019365639542229474,0.019481117895338684,0.019596596248447895,0.019712074601557106,0.019827552954666317,0.019943031307775527,0.020058509660884738,0.02017398801399395,0.02028946636710316,0.02040494472021237,0.02052042307332158,0.02063590142643079,0.020751379779540002,0.020866858132649213,0.020982336485758424,0.021097814838867635,0.021213293191976845,0.021328771545086056,0.021444249898195267]}"
"1155","{""values"":[42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.017909200862050056,0.01802732638316229,0.018145451904274523,0.018263577425386757,0.01838170294649899,0.018499828467611223,0.018617953988723457,0.01873607950983569,0.018854205030947924,0.018972330552060157,0.01909045607317239,0.019208581594284624,0.019326707115396857,0.01944483263650909,0.019562958157621324,0.019681083678733557,0.01979920919984579,0.019917334720958024,0.020035460242070258,0.02015358576318249,0.020271711284294724,0.020389836805406958,0.02050796232651919,0.020626087847631425,0.020744213368743658,0.02086233888985589,0.020980464410968125,0.02109858993208036,0.02121671545319259,0.021334840974304825,0.02145296649541706,0.021571092016529292,0.021689217537641525]}"
"1189","{""_type"":""histogram"",""values"":[46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1],""bins"":[0.018058376386761665,0.01819637865992263,0.018334380933083594,0.018472383206244558,0.018610385479405522,0.018748387752566487,0.01888639002572745,0.019024392298888415,0.01916239457204938,0.019300396845210344,0.019438399118371308,0.019576401391532272,0.019714403664693236,0.0198524059378542,0.019990408211015165,0.02012841048417613,0.020266412757337093,0.020404415030498058,0.020542417303659022,0.020680419576819986,0.02081842184998095,0.020956424123141915,0.02109442639630288,0.021232428669463843,0.021370430942624807,0.02150843321578577,0.021646435488946736,0.0217844377621077,0.021922440035268664,0.02206044230842963,0.022198444581590593,0.022336446854751557,0.02247444912791252]}"
